DISTRICT,AVG_RESALE_PRICE,AVG_RENT_PRICE
Khamovniki,533015.856777,2243.260563
Tverskoy,516581.518987,2346.201439
Arbat,514930.827068,2268.243590
Presnensky,499065.404040,2242.103226
Yakimanka,487174.540682,2174.132813
Zamoskvorechye,426045.833333,1954.101351
Meshchansky,404434.164589,1813.315068
Basmanny,370504.271357,1662.689266
Dorogomilovo,367383.415842,1663.722513
Tagansky,364963.172043,1606.315789
Krasnoselsky,363833.240223,1638.746667
Gagarinsky,309877.284595,1435.158940
Lomonosovsky,305356.009615,1474.197368
Strogino,304246.410256,1551.849315
Prospekt Vernadskogo,301854.347826,1493.452055
Ramenki,286871.842105,1313.670807
Cheryomushki,286079.899497,1400.040000
Filyovsky Park,279129.353234,1320.922535
Shchukino,276266.582278,1319.335443
Troparyovo-Nikulino,273353.658537,1380.006711
Khoroshyovsky,268751.785714,1218.104575
Begovoy,268592.857143,1230.189781
Yasenevo,264295.348837,1413.251656
Sokol,262793.627451,1249.077844
Fili-Davydkovo,259067.164179,1212.697987
Akademichesky,258921.770335,1200.220000
Krylatskoye,256954.237288,1313.715976
Donskoy,246618.032787,1064.449704
Obruchevsky,237645.698925,1200.988095
Kotlovka,236650.523560,1131.375723
Preobrazhenskoye,235591.022444,1157.658385
Sokolniki,234079.714286,1085.859756
Savyolovsky,233798.118280,1079.123377
Khoroshyovo-Mnyovniki,229263.157895,1078.380117
Danilovsky,227415.406162,1006.754839
Kuntsevo,223853.387534,1088.167883
Maryina Roshcha,222623.823529,965.819876
Nagorny,219467.968750,1038.548387
Timiryazevsky,219224.228029,1012.849315
Aeroport,218724.427481,1040.686667
Voykovsky,218059.313725,1017.189024
Zyuzino,218028.800000,1090.559006
Perovo,215967.258883,1089.798742
Alekseevsky,215135.872236,975.840000
Ostankinsky,213597.150259,1031.248366
Butyrsky,208351.562500,928.871429
Konkovo,206175.362319,977.944056
Mozhaysky,204530.835735,995.191489
Ochakovo-Matveyevskoye,204158.536585,990.451220
Pokrovskoye-Streshnevo,199965.789474,988.161491
Tyoply Stan,194526.811594,976.251462
Mitino,194027.150538,1041.613095
Nagatino-Sadovniki,193599.723757,876.260870
Nagatinsky Zaton,192800.259067,898.891026
Severnoye Izmaylovo,191769.845361,986.377778
Kurkino,191018.863049,997.190184
Sviblovo,187913.793103,916.581699
Izmaylovo,186771.279373,901.039216
Chertanovo Yuzhnoye,185671.538462,987.554054
Yuzhnoye Tushino,184025.729443,892.884848
Novogireyevo,183236.734694,940.355828
Chertanovo Severnoye,179961.025641,873.393939
Levoberezhny,175221.144279,875.473373
Bogorodskoye,173698.408488,831.419753
Sokolinaya Gora,173177.866667,813.942675
Severnoye Tushino,172175.555556,904.264516
Golovinsky,168569.230769,819.743902
Vostochnoye Izmaylovo,168274.666667,799.383648
Rostokino,167785.507246,811.967742
Severnoye Butovo,166454.497354,870.913580
Marfino,166115.119363,784.018182
Koptevo,165726.890756,806.114458
Solntsevo,164367.821782,889.924419
Moskvorechye-Saburovo,161341.457286,788.211765
Babushkinsky,161098.724490,831.079710
Metrogorodok,156683.106267,732.577640
Otradnoye,156245.691906,798.253165
Golyanovo,155189.153439,777.050314
Ivanovskoye,153485.411141,737.008130
Severnoye Medvedkovo,153208.148148,754.180124
Yuzhnoye Medvedkovo,152124.303797,760.406250
Losinoostrovsky,151664.516129,772.838710
Chertanovo Tsentralnoye,150237.158470,732.128378
Beskudnikovsky,150227.671233,728.717647
Novo-Peredelkino,150198.138298,806.388060
Bibirevo,150151.690821,737.635802
Tsaritsyno,147479.277108,778.372414
Zapadnoye Degunino,147462.295082,743.861842
Novokosino,147033.663366,719.888889
Yuzhnoye Butovo,146251.058201,801.135484
Mosrentgen,146033.701657,743.201342
Yaroslavsky,144036.986301,757.257143
Khovrino,143824.409449,741.951515
Altufyevsky,142689.189189,714.490683
Vnukovo,141744.881890,774.374233
Lianozovo,140069.786096,710.000000
Veshnyaki,139651.554404,738.015504
Dmitrovsky,139507.277628,729.584337
Orekhovo-Borisovo Severnoye,135570.649351,677.632530
Brateyevo,134607.160494,685.806818
Kosino-Ukhtomsky,134303.307888,683.183824
Biryulyovo Zapadnoye,133605.778894,653.986842
Zyablikovo,133294.502618,675.857143
Orekhovo-Borisovo Yuzhnoye,131970.405728,676.722628
Vostochny,131410.541311,637.628378
Biryulyovo Vostochnoye,126541.927711,659.323944
Severny,121340.487805,665.474820
Molzhaninovsky,113362.402089,637.993056
Vnukovskoye,109939.884393,611.972603
Moskovsky,107207.843137,625.606250
Sosenskoye,106685.051546,606.063380
Shcherbinka,102309.066667,562.128378
Voskresenskoye,100724.266667,564.170886
Desyonovskoye,99675.603865,559.743750
Filimonkovskoye,90069.825436,499.207407
Zelenograd,89311.911357,491.211679
Ryazanovskoye,86108.093995,460.068750
Kokoshkino,85459.358289,487.146667
Marushkinskoye,81355.867347,471.137931
Troitsk,75951.150895,409.053691
Krasnopakhorskoye,62763.144963,343.099415
Pervomayskoye,58465.193370,325.567742
Shchapovskoye,56244.041451,318.677419
Voronovskoye,56011.848341,317.398649
Mikhaylovo-Yartsevskoye,55560.187354,320.480263
Novofyodorovskoye,53341.943734,295.463415
Klyonovskoye,52713.075061,290.200000
Rogovskoye,52698.575499,287.793939
Kievsky,52084.750000,295.006410
